attack_vector,business_impact,business_risk_score,capec_id,compliance_impact,cwe_id,date_identified,date_last_updated,description,dread_score,evidence,exploitability,id,identified_by,impact_severity,impacted_asset_ids,impacted_component_ids,impacted_data_flow_ids,mitigations,owner,prerequisites,related_threat_ids,residual_risk,status,stride_category,title
,,,,,,2025-09-26 23:52:53.526961,2025-09-26 23:52:53.526967,"Attackers may attempt to steal user credentials through phishing or keylogging, leading to unauthorized access.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K64739GPGGZ10ZE0CEZV677X,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,spoofing,Credential Theft
,,,,,,2025-09-26 23:52:53.528001,2025-09-26 23:52:53.528007,"An attacker could hijack a user's session by stealing session cookies, allowing them to impersonate the user.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K64739GQQP2G41HG1C5QRZ78,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,spoofing,Session Hijacking
,,,,,,2025-09-26 23:52:53.528208,2025-09-26 23:52:53.528213,"If passwords are stored in plain text or with weak hashing mechanisms, they can be easily compromised.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K64739GRF86D4DVR057D09SW,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,tampering,Insecure Password Storage
,,,,,,2025-09-26 23:52:53.528408,2025-09-26 23:52:53.528412,"Attackers may attempt to gain access by systematically guessing passwords, especially if account lockout mechanisms are weak.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K64739GRHEACK6H42Q3MFMYY,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,spoofing,Brute Force Attacks
,,,,,,2025-09-26 23:52:53.528612,2025-09-26 23:52:53.528620,Improper configuration of the application or its components may lead to exposure of sensitive user data.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K64739GR0FQ7P67Y8B3Y8C99,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,information_disclosure,Data Leakage through Misconfiguration
,,,,,,2025-09-26 23:52:53.528792,2025-09-26 23:52:53.528796,"An attacker could inject malicious scripts into the application, leading to unauthorized actions on behalf of users.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K64739GRQJZGD82YNA7ET9NX,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,tampering,Cross-Site Scripting (XSS)
,,,,,,2025-09-26 23:52:53.528915,2025-09-26 23:52:53.528919,"An attacker could overwhelm the application with requests, making it unavailable to legitimate users.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K64739GRY58A1X3K7C0XT1BS,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,denial_of_service,Denial of Service (DoS)
,,,,,,2025-09-26 23:52:53.529213,2025-09-26 23:52:53.529221,"Failure to validate user input can lead to various attacks, including SQL injection or command injection.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K64739GSF98JQ6TQWKJ0RD72,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,tampering,Improper Input Validation
,,,,,,2025-09-26 23:52:53.529507,2025-09-26 23:52:53.529513,Lack of proper logging may prevent detection of unauthorized access or other malicious activities.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K64739GSB66ZK2VTRKWDBG82,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,repudiation,Insufficient Logging and Monitoring
,,,,,,2025-09-26 23:52:53.529703,2025-09-26 23:52:53.529709,Improper handling of OAuth2 tokens and secrets can lead to unauthorized access to user accounts.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K64739GS6TTGPTH2WA59YKXD,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,spoofing,Insecure OAuth2 Implementation
