attack_vector,business_impact,business_risk_score,capec_id,compliance_impact,cwe_id,date_identified,date_last_updated,description,dread_score,evidence,exploitability,id,identified_by,impact_severity,impacted_asset_ids,impacted_component_ids,impacted_data_flow_ids,mitigations,owner,prerequisites,related_threat_ids,residual_risk,status,stride_category,title
,,,,,,2025-09-27 16:01:31.653359,2025-09-27 16:01:31.653367,"An attacker overwhelms the Elastic Load Balancer with excessive requests, causing service disruption.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K65YGXG5AHKHT4TNAA640PXG,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,denial_of_service,DDoS Attack
,,,,,,2025-09-27 16:01:31.653783,2025-09-27 16:01:31.653790,"An attacker steals session tokens to impersonate legitimate users, gaining unauthorized access.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K65YGXG55J1QB7W6NYD53V4M,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,spoofing,Session Hijacking
,,,,,,2025-09-27 16:01:31.654052,2025-09-27 16:01:31.654057,An attacker manipulates input fields to execute arbitrary SQL commands on the Amazon RDS database.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K65YGXG6QQYD29F1ZFKBVQQP,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,tampering,SQL Injection
,,,,,,2025-09-27 16:01:31.656094,2025-09-27 16:01:31.656099,"Sensitive data is transmitted without encryption, making it vulnerable to interception.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K65YGXG83VT212MPS9BKVV5W,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,information_disclosure,Data Exposure in Transit
,,,,,,2025-09-27 16:01:31.656296,2025-09-27 16:01:31.656300,"An attacker injects malicious scripts into web pages viewed by users, potentially stealing cookies or session data.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K65YGXG8PH8EQYSWMEDBYHAR,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,tampering,Cross-Site Scripting (XSS)
,,,,,,2025-09-27 16:01:31.656419,2025-09-27 16:01:31.656423,An attacker manipulates URLs to access unauthorized resources stored in S3 or RDS.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K65YGXG8C0YZV9YJMYD3VFFP,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,elevation_of_privilege,Insecure Direct Object References
,,,,,,2025-09-27 16:01:31.656553,2025-09-27 16:01:31.656557,"The application fails to validate user inputs, leading to various injection attacks.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K65YGXG8YJQMBDG2GYMW4TFE,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,tampering,Insufficient Input Validation
,,,,,,2025-09-27 16:01:31.656671,2025-09-27 16:01:31.656674,"An attacker sends emails that appear to be from the application using Amazon SES, potentially leading to phishing attacks.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K65YGXG8MW0GDSFKSZ3CAF2X,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,spoofing,Email Spoofing
,,,,,,2025-09-27 16:01:31.656795,2025-09-27 16:01:31.656800,Improperly configured S3 buckets or RDS instances expose sensitive data to unauthorized access.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K65YGXG80GT16ZPVSH5ZJ1FE,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,information_disclosure,Data Breach due to Misconfiguration
,,,,,,2025-09-27 16:01:31.657031,2025-09-27 16:01:31.657035,Weak or absent authentication allows unauthorized users to access sensitive areas of the application.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",,Exploitability.MODERATE,01K65YGXG9TYX0D4F372067HPY,,ImpactSeverity.MEDIUM,,,,,,,,,ThreatStatus.IDENTIFIED,elevation_of_privilege,Lack of Proper Authentication Mechanisms
