Correlation_ID,Type,Source,Target,Description,Strength,Impact,Confidence,Created_At
CORR_001,,,,"Session hijacking, MITM on unencrypted traffic, and weak authentication are common across all web‑app threat models in the organization, regardless of the underlying stack.",,,,2025-09-28T02:03:50.250527
CORR_002,,,,"Encryption at rest (RDS, S3, ElastiCache) and encryption in transit are mitigations that appear in every AWS‑based threat model in the org.",,,,2025-09-28T02:03:50.250545
CORR_003,,,,SQL injection and XSS are classic injection patterns that also surface in micro‑service and API gateway threat models.,,,,2025-09-28T02:03:50.250552
CORR_004,,,,All identified threats intersect with PCI‑DSS requirement 3 (protect cardholder data) and GDPR requirement 32 (data security).,,,,2025-09-28T02:03:50.250559
CORR_005,,,,"The high DREAD scores for MITM, data exposure, and DDoS can be aggregated to prioritize security investments across the portfolio.",,,,2025-09-28T02:03:50.250566
CORR_006,,,,Privilege escalation via misconfigured IAM roles is a recurring threat in all AWS workloads.,,,,2025-09-28T02:03:50.250572
CORR_007,,,,Distributed Denial of Service on ELB and application layer mirrors DDoS patterns seen in SaaS and e‑commerce threat models.,,,,2025-09-28T02:03:50.250578
CORR_008,,,,Data encryption and access controls align with ISO 27001 controls A.10.1.1 (cryptographic controls) and A.9.1.2 (access control to information and assets).,,,,2025-09-28T02:03:50.250585
CORR_009,,,,"Cross‑site scripting via web server is also present in the mobile‑app backend threat model, indicating a shared vulnerability surface.",,,,2025-09-28T02:03:50.250592
CORR_010,,,,"Logging and monitoring are common mitigations across all threat models, yet many workloads lack centralized observability.",,,,2025-09-28T02:03:50.250599
