Correlation_ID,Type,Source,Target,Description,Strength,Impact,Confidence,Created_At
CORR_001,,,,"Similar to spoofing vulnerabilities in web applications (e.g., login page impersonation).",,,,2025-09-28T05:52:53.057421
CORR_002,,,,Shares mitigations with data integrity threats in CI/CD pipelines.,,,,2025-09-28T05:52:53.057430
CORR_003,,,,Aligns with GDPR/ISO 27001 requirements for data encryption at rest.,,,,2025-09-28T05:52:53.057436
CORR_004,,,,Shares attack patterns with DDoS threats in cloud infrastructure.,,,,2025-09-28T05:52:53.057441
CORR_005,,,,Shares mitigations with session fixation vulnerabilities in authentication systems.,,,,2025-09-28T05:52:53.057446
CORR_006,,,,Similar to SQLi/XSS vulnerabilities in web applications.,,,,2025-09-28T05:52:53.057452
CORR_007,,,,Relates to NIST SP 800-53 requirements for secure configuration management.,,,,2025-09-28T05:52:53.057457
CORR_008,,,,"Shares assets with other data exposure risks (e.g., API leaks).",,,,2025-09-28T05:52:53.057462
CORR_009,,,,Shares mitigations with API rate limiting threats in microservices.,,,,2025-09-28T05:52:53.057467
CORR_010,,,,Aligns with PCI DSS requirements for secure frontend communication.,,,,2025-09-28T05:52:53.057472
CORR_011,,,,Shares attack vectors with insecure deserialization threats.,,,,2025-09-28T05:52:53.057477
CORR_012,,,,Similar to supply chain attack risks in third-party integrations.,,,,2025-09-28T05:52:53.057482
CORR_013,,,,Shares risks with credential stuffing vulnerabilities in authentication systems.,,,,2025-09-28T05:52:53.057487
CORR_014,,,,Shares mitigations with insecure API endpoint risks.,,,,2025-09-28T05:52:53.057492
CORR_015,,,,Aligns with SOC 2 requirements for system availability.,,,,2025-09-28T05:52:53.057497
